52,AIKEN George David,VT,R
142,ALLOTT Gordon Llewellyn,CO,R
165,ANDERSON Clinton Presba,NM,D
486,BARTLETT Edward Lewis (Bob),AK,D
546,BEALL James Glenn,MD,R
645,BENNETT Wallace Foster,UT,R
688,BIBLE Alan Harvey,NV,D
823,BOGGS James Caleb,DE,R
1018,BREWSTER Daniel Baugh,MD,D
1252,BURDICK Quentin Northrup,ND,D
1365,BYRD Harry Flood,VA,D
1366,BYRD Robert Carlyle,WV,D
1482,CANNON Howard Walter,NV,D
1510,CARLSON Frank,KS,R
1569,CASE Clifford Philip,NJ,R
1721,CHURCH Frank Forrester,ID,D
1776,CLARK Joseph Sill,PA,D
2052,COOPER John Sherman,KY,R
2087,COTTON Norris H.,NH,R
2267,CURTIS Carl Thomas,NE,R
2609,DIRKSEN Everett McKinley,IL,R
2636,DODD Thomas Joseph,CT,D
2691,DOUGLAS Paul Howard,IL,D
2822,EASTLAND James Oliver,MS,D
2901,ELLENDER Allen Joseph,LA,D
2965,ENGLE Clair,CA,D
2987,ERVIN Samuel James Jr.,NC,D
3255,FONG Hiram Leong,HI,R
3388,FULBRIGHT James William,AR,D
3658,GOLDWATER Barry Morris,AZ,R
3704,GORE Albert Arnold,TN,D
3864,GRUENING Ernest Henry,AK,D
4148,HART Philip Aloysius,MI,D
4154,HARTKE Rupert Vance,IN,D
4227,HAYDEN Carl Trumbull,AZ,D
4382,HICKENLOOPER Bourke Blakemore,IA,R
4418,HILL Joseph Lister,AL,D
4520,HOLLAND Spessard Lindsey,FL,D
4660,HRUSKA Roman Lee,NE,R
4728,HUMPHREY Hubert Horatio Jr.,MN,D
4812,INOUYE Daniel Ken,HI,D
4851,JACKSON Henry Martin (Scoop),WA,D
4898,JAVITS Jacob Koppel,NY,R
5009,JOHNSTON Olin DeWitt Talmadge,SC,D
5073,JORDAN Benjamin Everett,NC,D
5116,KEATING Kenneth Barnard,NY,R
5122,KEFAUVER Carey Estes,TN,D
5372,KUCHEL Thomas Henry,CA,R
5500,LAUSCHE Frank John,OH,D
5756,LONG Edward Vaughn,MO,D
5767,LONG Russell Billiu,LA,D
5913,MAGNUSON Warren Grant,WA,D
5967,MANSFIELD Michael Joseph (Mike),MT,D
6134,McCARTHY Eugene Joseph,MN,D
6151,McCLELLAN John Little,AR,D
6249,McGEE Gale William,WY,D
6256,McGOVERN George Stanley,SD,D
6366,McNAMARA Patrick Vincent,MI,D
6442,METCALF Lee Warren,MT,D
6597,MONRONEY Almer Stillwell Mike,OK,D
6738,MORSE Wayne Lyman,OR,D
6745,MORTON Thruston Ballard,KY,R
6754,MOSS Frank Edward (Ted),UT,D
6796,MUNDT Karl Earl,SD,R
6831,MUSKIE Edmund Sixtus,ME,D
6881,NEUBERGER Maurine Brown,OR,D
7229,PASTORE John Orlando,RI,D
7637,PROUTY Winston Lewis,VT,R
7638,PROXMIRE William,WI,D
7722,RANDOLPH Jennings,WV,D
7847,RIBICOFF Abraham Alexander,CT,D
7958,ROBERTSON Absalom Willis,VA,D
8138,RUSSELL Richard Brevard Jr.,GA,D
8185,SALTONSTALL Leverett,MA,R
8301,SCOTT Hugh Doggett Jr.,PA,R
8593,SMATHERS George Armistead,FL,D
8666,SMITH Margaret Chase,ME,R
8764,SPARKMAN John Jackson,AL,D
8883,STENNIS John Cornelius,MS,D
9141,SYMINGTON William Stuart (Stuart),MO,D
9174,TALMADGE Herman Eugene,GA,D
10147,WILLIAMS Harrison Arlington Jr.,NJ,D
10163,WILLIAMS John James,DE,R
10414,YARBOROUGH Ralph Webster,TX,D
10450,YOUNG Milton Ruben,ND,R
10454,YOUNG Stephen Marvin,OH,D
10514,DOMINICK Peter Hoyt,CO,R
10800,BAYH Birch Evans,IN,D
10803,EDMONDSON James Howard,OK,D
10807,JORDAN Leonard Beck (Len),ID,R
10808,KENNEDY Edward Moore (Ted),MA,D
10810,McINTYRE Thomas James,NH,D
10811,MECHEM Edwin Leard,NM,R
10812,MILLER Jack Richard,IA,R
10816,NELSON Gaylord Anton,WI,D
10817,PEARSON James Blackwood,KS,R
10818,PELL Claiborne de Borda,RI,D
10820,SIMPSON Milward Lee,WY,R
10823,TOWER John Goodwin,TX,R
99369,THURMOND James Strom,SC,D
10825,WALTERS Herbert Sanford,TN,D
10821,SALINGER Pierre Emil George,CA,D
